type,time,title,desc
show,10:30,海豚秀 (奧基醬劇場),【免費/戶外】背景是伊江島海景，海豚跳躍力十足。建議提早15分鐘佔位。
show,11:30,鯨鯊餵食秀 (黑潮之海),【必看】看鯨鯊垂直進食的震撼畫面。建議到水槽旁或「Ocean Blue」咖啡廳觀賞。
show,13:00,海豚秀 (奧基醬劇場),【免費/戶外】下午場次。
show,15:00,潛水員餵食秀 (黑潮之海),潛水員在水中介紹魚類生態，並進行餵食。
show,15:00,海豚餵食體驗 (付費),需當天早上在現場預約，非常熱門，建議一開園就去搶票。
show,16:00,海牛館/海龜館 餵食,戶外區域，可從水面上方觀察海牛吃高麗菜的樣子。
tip,-,✅ 停車攻略 (P7),距離最近立體停車場，但動線差，除非一大早來，否則不推薦。
tip,-,✅ 停車攻略 (P6),位於 P7 對面，過個斑馬線就到了，也是不錯的選擇。
tip,-,✅ 停車攻略 (P5),【個人推薦】旺季晚到也有位子，馬路順向好進出。需走400m無障礙步道(有風景)，夏天建議找樹蔭。
tip,-,✅ 門票兌換,網路上買的 QR Code 票券，通常需至入口處櫃臺換成「實體票」才可入內，請注意。
tip,-,✅ 黑潮探險 (水上觀覽),建議一早就去！早上僅開放到 **11:00** (需在鯨鯊餵食秀前離開)，下一場要等到 17:30 會太晚。
tip,-,✅ 拍照服務,出口紀念品區前有攝影師。會**免費送一張**和鯨鯊合成的拍立得小卡。
tip,-,✅ 鯨鯊布偶抽獎,位於「綜合案內所」紀念品店門口。**1000日圓/抽，通通有獎**。5等獎就有手掌大(CP值高)，特等獎超巨大。
