name,category,desc,slot,day_info,map_query
A&W 名護店,輕食/速食,美式風格漢堡，必點麥根沙士與起司薯條。,d1_dinner,Day 1 晚餐,A&W Nago
美ら花 別邸 (Chura-Hana),肉料理,非常適合親子的沖繩料理，有榻榻米、兒童餐。,d1_dinner,Day 1 晚餐 (推薦),Chura-Hana Nago
Asahiya 阿古豬,肉料理,清爽的阿古豬涮涮鍋與水餃，適合第一餐。,d1_dinner,Day 1 晚餐 (備案),Asahiya Nago
Nakama Steak,肉料理,大份量美式牛排，就在飯店走路可到之處。,d1_dinner,Day 1 晚餐 (備案),Nakama Steak
許田休息站 炸物,甜點/咖啡,知名的炸魚板與10円饅頭，休息站必吃。,d1_cafe,Day 1 下午茶,Kyoda Roadside Station
Blue Seal 名護店,甜點/咖啡,沖繩冰淇淋名店，名護店有霓虹燈很好拍。,d1_cafe,Day 1 下午茶 (備案),Blue Seal Nago
Pain de Kaito,甜點/咖啡,名護人氣麵包店，紅豆麵包與咖哩麵包必吃。,d2_breakfast,Day 2 早餐,Pain de Kaito
宮里 Soba,麵食,名護在地人早餐首選，便宜大碗的沖繩麵。,d2_breakfast,Day 2 早餐 (備案),Miyazato Soba
海邦丸,海鮮,位於 Hanasaki Marche，食材新鮮的海鮮丼。,d2_lunch,Day 2 午餐,Kaihomaru
Benson's Hotdog,輕食/速食,美式熱狗堡，小孩接受度高。,d2_lunch,Day 2 午餐 (備案),Benson's Hotdog
Steak House 88 (美麗海店),肉料理,沖繩老牌牛排，水族館旁邊。,d2_lunch,Day 2 午餐 (備案),Steak House 88 Churaumi
ZHYVAGO COFFEE (Hanasaki),甜點/咖啡,海景第一排，工業風裝潢，提拉米蘇好吃。,d2_cafe,Day 2 下午茶,ZHYVAGO COFFEE ROASTERY
Starbucks (Hanasaki),甜點/咖啡,就在 ZHYVAGO 旁邊，有二樓海景座位。,d2_cafe,Day 2 下午茶 (備案),Starbucks Hanasaki
燒肉乃我那霸 (新館),肉料理,名護燒肉名店，座位多，肉質好。,d2_dinner,Day 2 晚餐,Yakiniku no Ganaha
百年古家 大家,肉料理,在百年老宅吃阿古豬火鍋，氣氛絕佳(需預約)。,d2_dinner,Day 2 晚餐 (備案),Ufuya
Restaurant Flipper,肉料理,只收現金的老牌牛排館，附贈的湯很好喝。,d2_dinner,Day 2 晚餐 (備案),Restaurant Flipper
浜の家 海鮮料理,海鮮,恩納村名店，黃油烤魚定食香氣十足。,d3_lunch,Day 3 午餐,Hamano-ya
恩納之驛 (休息站),海鮮/輕食,選擇超多！有知名的豚三郎豬腳、刨冰、水產。,d3_lunch,Day 3 午餐 (備案),Onna no Eki
中村 Soba,麵食,使用海藻揉製的綠色麵條，湯頭清爽。,d3_lunch,Day 3 午餐 (備案),Nakamura Soba
BANTA CAFE (星野),甜點/咖啡,無敵海景大榻榻米區，小孩滾動午睡神器。,d3_cafe,Day 3 下午茶,BANTA CAFE
Trip Cafe Okinawa,甜點/咖啡,恩納村知名的舒芙蕾鬆餅店。,d3_cafe,Day 3 下午茶 (備案),Trip Cafe Okinawa
Gala 青海 冰淇淋,甜點/咖啡,海鹽冰淇淋，還可看海看製鹽。,d3_cafe,Day 3 下午茶 (備案),Gala Aoi Umi
Hana Hana (日航飯店),吃到飽,飯店內自助餐，菜色豐富，適合不想出門。,d3_dinner,Day 3 晚餐,Hotel Nikko Alivila
Shima Buta Ya (蒸豚),肉料理,用蒸籠蒸的阿古豬，健康美味，適合小孩。,d3_dinner,Day 3 晚餐 (推薦),Okinawa Cuisine Shimabutaya
Mintama (読谷),義式/沖繩,深受當地人喜愛的義式居酒屋，需預約。,d3_dinner,Day 3 晚餐 (備案),Mintama Yomitan
Taco Rice Cafe Kijimuna,輕食/速食,美國村必吃塔可飯，推薦歐姆蛋口味。,d4_lunch,Day 4 午餐,Taco Rice Cafe Kijimuna
Pork Tamago Onigiri (北谷),輕食/速食,豬肉蛋飯糰，可以買去海邊吃。,d4_lunch,Day 4 午餐 (備案),Pork Tamago Onigiri Chatan
Red Lobster,海鮮,美式龍蝦餐廳，有兒童餐椅，氣氛歡樂。,d4_lunch,Day 4 午餐 (備案),Red Lobster Okinawa
ZHYVAGO COFFEE (美國村),甜點/咖啡,本店在海邊，充滿西岸風情，很多外國人。,d4_cafe,Day 4 下午茶,ZHYVAGO COFFEE WORKS
Seaside Cafe Hanon,甜點/咖啡,著名的鬆餅店，藍白色調希臘風。,d4_cafe,Day 4 下午茶 (備案),Seaside Cafe Hanon
Vongo & Anchor,甜點/咖啡,Zhyvago 姊妹店，提供更豐富的餐點與三明治。,d4_cafe,Day 4 下午茶 (備案),Vongo & Anchor
Chatan Steam Seafood,海鮮,蒸氣海鮮料理，保留食材原味，適合親子。,d4_dinner,Day 4 晚餐,Chatan Steam Seafood
迴轉壽司 市場壽司,海鮮,美國村內的迴轉壽司，食材新鮮。,d4_dinner,Day 4 晚餐 (備案),Gourmet Sushi American Village
A&W 北谷店,輕食/速食,如果第一天沒吃到，可以在這補吃。,d4_dinner,Day 4 晚餐 (備案),A&W Chatan
Birdland Cafe,甜點/咖啡,兒童王國附近，可愛的甜點與簡餐。,d5_lunch,Day 5 午餐,Birdland Cafe Okinawa
AEON Rycom 美食街,其他,離兒童王國不遠，選擇多。,d5_lunch,Day 5 午餐 (備案),AEON Mall Okinawa Rycom
兒童王國 餐廳,輕食/速食,園區內簡單用餐，節省時間。,d5_lunch,Day 5 午餐 (備案),Okinawa Zoo
Blue Seal (PARCO),甜點/咖啡,位於 PARCO CITY 內，購物累了休息用。,d5_cafe,Day 5 下午茶,Blue Seal PARCO CITY
Gong Cha (PARCO),甜點/咖啡,想喝珍奶這裡也有。,d5_cafe,Day 5 下午茶 (備案),Gong Cha PARCO CITY
Yakiniku King (浦添),肉料理,高CP值燒肉吃到飽，親子友善，離飯店近。,d5_dinner,Day 5 晚餐,Yakiniku King Urasoe
Hama Sushi (浦添),海鮮,平價迴轉壽司，就在 PARCO 附近。,d5_dinner,Day 5 晚餐 (備案),Hama Sushi Urasoe
Teida Soba,麵食,浦添非常有名的沖繩麵。,d5_dinner,Day 5 晚餐 (備案),Teida Soba
黑船鰻魚飯,海鮮,位於新都心 Apple Town，平價好吃的鰻魚。,d6_lunch,Day 6 午餐,Kurofune Unagi Naha
鮪魚本舖 (泊港魚市場),海鮮,在魚市場內吃海鮮丼，便宜大碗。,d6_lunch,Day 6 午餐 (備案),Maguroya Hompo
Buho (ブホ),麵食,外人住宅區好吃的義大利麵。,d6_lunch,Day 6 午餐 (備案),Buho Urasoe
Starbucks (Ashibinaa),甜點/咖啡,Outlet 逛累了的休息站。,d6_cafe,Day 6 下午茶,Starbucks Ashibinaa
Koi Thé (iias),甜點/咖啡,iias 商場內的飲料店。,d6_cafe,Day 6 下午茶 (備案),Koi The iias
Mikado (美加多),麵食,那霸24小時營業的家庭料理，什錦麵(Chanpon)必吃。,d6_dinner,Day 6 晚餐,Mikado Naha
Jack's Steak House,肉料理,美式復古風牛排館，歷史悠久，湯很特別。,d6_dinner,Day 6 晚餐 (備案),Jack's Steak House
Jumbo Steak Han's,肉料理,國際通上多家分店，觀光客友善。,d6_dinner,Day 6 晚餐 (備案),Jumbo Steak Han's
糸滿漁民食堂,海鮮,南部排隊名店，奶油烤魚與濃郁魚汁。,d7_lunch,Day 7 早午餐,Itoman Gyomin Shokudo
iias 豐崎 美食街,其他,趕時間首選，選擇多且離機場近。,d7_lunch,Day 7 早午餐 (備案),iias Okinawa Toyosaki
那霸機場 A&W,輕食/速食,離開沖繩前的最後回味。,d7_lunch,Day 7 早午餐 (備案),Naha Airport A&W
福助の玉子焼き,輕食/速食,著名的厚蛋燒，市場本通與機場都有店。,d7_cafe,Day 7 下午茶,Fukusuke no Tamagoyaki
Jimmy's 機場店,甜點/咖啡,機場內買最後的伴手禮或吃塊蛋糕。,d7_cafe,Day 7 下午茶 (備案),Jimmy's Naha Airport
豬肉蛋飯糰 (機場),輕食/速食,買了帶上飛機吃。,d7_cafe,Day 7 下午茶 (備案),Pork Tamago Onigiri Airport
島豚家 (Shimabutaya),麵食,本部町名店，炭火炙燒阿古豬沖繩麵，湯頭濃郁。,推薦,推薦麵食,Shimabutaya Motobu
Radish (Coffee & Bread),甜點/咖啡,今歸仁村的隱藏版麵包咖啡廳，適合前往古宇利島途中。,推薦,推薦甜點,Coffee & Bread Radish
海風超市 (Umikaze Market),購物,本部町當地超市，除了伴手禮還有很多在地熟食。,推薦,推薦購物,Market Umikaze
Blue Seal Ice Cream,甜點/咖啡,沖繩代表性冰淇淋，紫薯與鹽金楚糕口味必點。,推薦,推薦甜點,Blue Seal
Houkishiboshi (ほうき星),甜點/咖啡,港川外人住宅，沖繩黑糖可麗露專賣店。,推薦,推薦甜點,Houkishiboshi
Ryuppin (琉冰),甜點/咖啡,恩納之驛休息站，堆得像山的熱帶水果剉冰。,推薦,推薦甜點,Ryuppin
Ball Donut Park,甜點/咖啡,那霸/國際通，現炸球型甜甜圈，口感Q彈。,推薦,推薦甜點,Ball Donut Park
Mother Coffee,甜點/咖啡,北中城村，鑄鐵鍋鬆餅(Dutch Baby)名店。,推薦,推薦甜點,Mother Coffee Okinawa
Kurtos Kalacs,甜點/咖啡,國際通，現烤煙囪捲，外酥內軟。,推薦,推薦甜點,Kurtos Kalacs Okinawa
豬肉蛋飯糰 (Potama),輕食/速食,沖繩靈魂美食，機場與美國村都有分店。,推薦,推薦輕食,Pork Tamago Onigiri
